"Id","Approx.Acc.","Approx.RT","prop.score","Shape","Mod.Acc.","Mod.RT","VSWM"
"38",0.84,0.936100502512563,0.691798941798942,1590,0.6125,2.00790231129047,0.132415009117147
"39",0.87,1.262735,0.781746031746032,2610,0.85,3.46166380707005,1.32792588188636
"4",0.76,0.900186868686869,0.732407407407407,1705,0.8125,3.97216336564978,0.345482418520152
"40",0.87,1.105215,0.82989417989418,2145,0.525,1.91058351632074,1.01197433187397
"41",0.79,1.330895,0.395634920634921,895,0.525,3.45586108705279,-1.2856384975482
"42",0.775,0.886174358974359,0.175132275132275,1295,0.575,2.4290185238125,-1.47397265614887
"43",0.72,1.07164,0.821428571428571,2190,0.775,2.08732963693595,1.03277129925853
"44",0.745,0.847,0.383333333333333,1145,0.5125,0.494117748271737,-1.08086955988401
"45",0.835,1.2956,0.631084656084656,1565,0.8625,10.4068469281978,-0.0472149317351062
"46",0.775,0.980246231155779,0.438624338624339,1300,0.825,6.60530953825813,-0.792258455139417
"47",0.3,1.30531034482759,0.344047619047619,980,0.5375,1.05599196552205,-1.3378134905481
"48",0.725,0.917257575757576,0.776455026455026,1235,0.675,1.81380073881551,0.0142679280905029
"49",0.825,0.905040404040404,0.756613756613757,2125,0.65,2.50252684691965,0.804785883792566
"5",0.805,1.03108542713568,0.701719576719577,2355,0.8625,4.00875427422921,0.881212213486202
"50",0.745,1.00237688442211,0.37989417989418,775,0.475,0.886001688269475,-1.43954109312589
"51",0.805,0.99786432160804,0.761772486772487,1325,0.7625,3.24177829292,0.0616393597642931
"52",0.725,1.06504081632653,0.405555555555556,1840,0.725,3.65516001881333,-0.366651117311693
"53",0.565,0.907927536231884,0.392063492063492,1680,0.675,2.26539567007015,-0.552596255066365
"54",0.845,0.861305,0.748015873015873,2715,0.8125,5.50193242981921,1.34054103090558
"55",0.875,0.924855,0.723412698412698,1520,0.7875,5.29788964333304,0.147454750148795
"56",0.78,1.10124365482233,0.632671957671958,1320,0.7625,2.56975266508784,-0.274784438001066
"57",0.74,0.93455,0.17962962962963,1260,0.5,0.761750923304312,-1.49551019653597
"58",0.825,0.828085427135678,0.56984126984127,1990,0.7125,1.70780531344631,0.197271156044873
