MA_practice,corrAns,corrAns2,MA_baseline,MA_exp,corrAns3,Practice_trials.thisRepN,Practice_trials.thisTrialN,Practice_trials.thisN,Practice_trials.thisIndex,Baseline_block.thisRepN,Baseline_block.thisTrialN,Baseline_block.thisN,Baseline_block.thisIndex,experimental_block.thisRepN,experimental_block.thisTrialN,experimental_block.thisN,experimental_block.thisIndex,session_number_key.keys,session_number_key.corr,session_number_key.rt,trial_key.keys,trial_key.corr,trial_key.rt,basetrial_key.keys,basetrial_key.corr,basetrial_key.rt,Mani_key.keys,Mani_key.rt,exptrial_key.keys,exptrial_key.corr,exptrial_key.rt,date,frameRate,expName,session,participant,
,,m,50=21 (mod 6),50=29 (mod 5),m,,,,,,,,,0,6,6,9,,,,,,,,,,,,z,0,1.89939783631,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,m,7=4 (mod 4),7=1 (mod 4),m,,,,,,,,,0,7,7,5,,,,,,,,,,,,m,1,2.59907610687,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,z,22=18 (mod 4),26=22 (mod 4),z,,,,,,,,,0,8,8,22,,,,,,,,,,,,z,1,1.83271841556,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,z,5=2 (mod 3),6=4 (mod 2),z,,,,,,,,,0,9,9,6,,,,,,,,,,,,z,1,1.36627136794,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,z,61=56 (mod 5),64=59 (mod 5),z,,,,,,,,,0,10,10,18,,,,,,,,,,,,m,0,1.41622085712,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,m,84=76 (mod 5),88=79 (mod 5),m,,,,,,,,,0,11,11,19,,,,,,,,,,,,z,0,1.63264002465,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,z,65=33 (mod 8),67=37 (mod 5),z,,,,,,,,,0,12,12,14,,,,,,,,,,,,m,0,2.0993236449,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,z,33=27 (mod 6),31=25 (mod 6),z,,,,,,,,,0,13,13,20,,,,,,,,,,,,z,1,2.0159814848,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,m,59=57 (mod 3),54=52 (mod 3),m,,,,,,,,,0,14,14,21,,,,,,,,,,,,m,1,2.1326309257,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,m,78=74 (mod 2),77=73 (mod 2),m,,,,,,,,,0,15,15,17,,,,,,,,,,,,z,0,1.53300608229,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,z,18=11 (mod 7),15=11 (mod 4),z,,,,,,,,,0,16,16,16,,,,,,,,,,,,z,1,2.54913455011,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,m,6=3 (mod 2),9=7 (mod 4),m,,,,,,,,,0,17,17,3,,,,,,,,,,,,m,1,2.84908392263,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,m,77=42 (mod 4),74=49 (mod 4),m,,,,,,,,,0,18,18,11,,,,,,,,,,,,z,0,2.93229496454,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,z,6=3 (mod 3),5=2 (mod 3),z,,,,,,,,,0,19,19,0,,,,,,,,,,,,z,1,2.11589399494,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,m,6=4 (mod 3) ,8=2 (mod 3) ,m,,,,,,,,,0,20,20,7,,,,,,,,,,,,z,0,1.34963009278,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,z,9=2 (mod 7),8=4 (mod 4),z,,,,,,,,,0,21,21,2,,,,,,,,,,,,z,1,1.21631604612,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,m,68=63 (mod 4),69=64 (mod 4),m,,,,,,,,,0,22,22,23,,,,,,,,,,,,m,1,3.63191910801,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,m,85=74(mod 5),85=74 (mod 5),m,,,,,,,,,0,23,23,13,,,,,,,,,,,,z,0,2.14925633601,2016_Sep_15_1604,60.0280939,MA task,,taylor,
